epoch,train_loss,val_loss,val_macro_f1,lr
1,1.5568785630776854,1.2115068601609467,0.3803871552064005,0.001
2,1.3100643307598356,0.8399888080045972,0.4211830075169097,0.001
3,1.2449850254766393,0.7691741208644693,0.4993747202353043,0.001
4,1.2298231714507275,0.8948270457142152,0.43960372788097796,0.001
5,1.2101251151971315,0.9125447726056222,0.4579492693942776,0.001
6,1.1460740504500684,0.7711540290925387,0.5088997205009923,0.0005
7,1.1341317127974473,0.7838609316264199,0.5091068824950808,0.0005
8,1.1055531877402973,0.8575492321924026,0.4833974310277066,0.0005
9,1.1108885919327929,0.9144706401448423,0.4543494270512899,0.0005
10,1.0533301196021694,0.7441333542565133,0.49395818691145343,0.00025
